School Name	School District
Saint John High	Anglophone South
Saint Mary's Academy	Anglophone West
Saint-André	Francophone Nord-Ouest
Saint-Basile	Francophone Nord-Ouest
Saint-Henri	Francophone Sud
Saint-Jacques	Francophone Nord-Ouest
Saint-Joseph	Francophone Nord-Ouest
Saint-Paul	Francophone Sud
Sainte-Anne	Francophone Nord-Ouest
Sainte-Anne	Francophone Sud
Sainte-Bernadette	Francophone Sud
Sainte-Therèse	Francophone Sud
Salem Elementary	Anglophone East
Salisbury Elementary	Anglophone East
Salisbury Middle	Anglophone East
Samuel-de-Champlain	Francophone Sud
Seawood Elementary	Anglophone South
Secondaire Assomption	Francophone Sud
Secondaire Népisiguit	Francophone Nord-Est
Shediac Cape	Anglophone East
Simonds High	Anglophone South
Simonds Middle	Anglophone South
Sir James Dunn	Anglophone South
Soleil Levant	Francophone Sud
South Bathurst Elementary	Anglophone North
South Devon Elementary	Anglophone West
Southern Carleton Elementary	Anglophone West
Southern Victoria High	Anglophone West
St. Andrews Elementary	Anglophone North
St. George Elementary	Anglophone South
St. John the Baptist/King Edward	Anglophone South
St. Malachy's Memorial	Anglophone South
St. Martins Elementary	Anglophone South
St. Patrick's Elementary	Anglophone South
St. Rose Elementary	Anglophone South
St. Stephen Elementary	Anglophone South
St. Stephen High	Anglophone South
St. Stephen Middle	Anglophone South
Stanley Elementary	Anglophone West
Stanley High	Anglophone West
Sugarloaf High	Anglophone North
Summerhill Street Elementary	Anglophone West
Sunbury West	Anglophone West
Sunny Brae	Anglophone East
Superior Middle	Anglophone North
Sussex Corner Elementary	Anglophone South
Sussex Elementary	Anglophone South
Sussex Middle	Anglophone South
Sussex Regional	Anglophone South
Séjour-Jeunesse	Francophone Nord-Est
Sœur-Saint-Alexandre	Francophone Nord-Est
Tabusintac Rural	Anglophone North
Tantramar Regional	Anglophone East
Terre-des-Jeunes	Francophone Nord-Est
Terry Fox Elementary	Anglophone North
Thomas-Albert	Francophone Nord-Ouest
Tide Head	Anglophone North
Tobique Valley High	Anglophone West
Touchstone Academy	Anglophone South
Upper Miramichi Elementary	Anglophone West
Versant-Nord	Francophone Nord-Est
Vincent Massey Elementary	Anglophone South
W.-Arthur-Losier	Francophone Nord-Est
W.-F. Boisvert	Francophone Sud
West Riverview	Anglophone East
Westfield Elementary	Anglophone South
Woodlawn Learning Centre	Anglophone South
Woodstock Centennial	Anglophone West
Woodstock Christian Academy	Anglophone West
Woodstock High	Anglophone West
Woodstock Middle	Anglophone West
